0119_attend,0119_quiz_class,0123_quiz1,0126_attend,0127_quiz2,0201_homework0,0201_quiz3,0202_attend,0202_millionaire,0203_quiz5,0207_attend,0209_attend,0209_quiz6,0213_homework1,0214_attend,0216_attend,0301_quiz7,0304_exam1,0307_attend,0315_homework2,0327_quiz8,0330_attend,0402_homework3,0404_exam2,0406_attend,0411_attend,0413_attend,0413_quiz_class,0415_homework4,0430_homework5,0509_final_exam,0510_extra,0510_group,total_sum,total_weighted
0,0,94,1,,100,,1,3.7,,1,1,,0,1,1,,30,0,0,,0,50,64,0,0,1,60,10,0,27,0,60,586.7,40.15
1,5,80,1,98,100,94,1,10,90,1,1,90,0,1,1,90,53,0,0,80,0,0,62,0,0,1,68,100,0,81,0,100,1382,63.71
1,3,90,0,98,100,92,1,6.6,94,0,0,,30,1,1,,57.5,0,80,,0,90,74,0,0,1,81,100,100,73,0,80,1327.1,78.67
1,3,96,1,,100,,1,6.8,,0,0,,40,1,1,,60,1,50,,0,10,74,0,0,1,82,100,10,81,0,40,843.8,67.31
0,0,92,1,,100,,0,0,,1,1,,80,1,1,,73,0,80,,0,10,95,0,0,0,0,80,100,90,0,80,981,86.59
1,3,88,1,,100,,1,4.1,,1,1,,0,1,1,,77,0,10,,1,10,83,0,0,0,0,0,0,84,0,20,586.1,59.83
1,3,86,0,100,80,94,1,6.3,96,0,1,92,0,0,0,94,53.5,0,30,84,0,10,66,0,0,1,113,100,100,78,0,100,1565.8,71.05
1,3,96,1,98,60,100,1,4.5,100,1,1,96,0,1,1,100,47,1,100,98,0,100,57,0,0,1,75,100,100,62,0,80,1659.5,71.68
1,3,90,1,,100,,1,5.4,,1,1,,0,1,1,,59,0,10,,0,90,62,0,0,1,110,100,100,39,0,60,906.4,63.02
0,0,,0,,0,,1,5.6,,1,1,,110,1,1,,54,0,0,,0,74,74,0,0,0,0,0,0,46,0,80,529.6,50.44
1,4,,1,,100,,1,8.7,,1,1,,50,1,1,,75,1,10,,1,70,87,1,1,1,108,100,100,78,0,100,997.7,83.15
1,3,90,1,88,100,88,1,7.2,84,1,1,88,10,1,1,88,61,0,90,88,1,10,58,0,0,1,61,100,100,60,0,100,1533.2,70.77
1,3,84,1,82,100,82,1,9.4,90,1,1,86,0,1,1,82,62,0,0,76,0,0,63,0,0,1,84,100,90,67,0,100,1420.4,66.41
1,2,,0,,100,,1,6,,1,1,,30,1,1,,71.5,0,90,,0,10,60,0,0,1,111,100,100,84,0,80,923.5,78.33
0,0,66,1,88,100,88,1,6.1,84,0,0,82,20,1,1,,66,0,10,,0,0,68,1,0,1,93,100,20,89,0,100,1175.1,70.92
1,4,94,1,100,100,,1,7.7,,1,1,,50,1,1,,75,1,100,,1,60,71,1,0,1,112,100,100,95,0,100,1296.7,87.86
0,0,94,1,86,100,78,0,0,,1,1,,20,1,1,,48,0,100,,0,60,47,0,0,0,0,100,80,54,6,80,1006,64.76
1,4,72,1,,100,,1,9.1,,1,1,,0,1,1,,49,1,100,,1,100,99,1,1,1,78,100,100,80,0,100,1115.1,84.88
0,0,88,1,88,0,88,0,0,,1,1,,10,1,1,,53,0,10,,1,70,83,0,0,1,87,40,100,57,0,100,965,61.77
0,0,,1,,72,,1,5.4,,1,1,,0,1,1,,59.5,0,80,,0,90,65,0,0,1,97,100,70,61,2,100,890.9,72.03
1,5,100,1,98,100,100,1,6.8,98,1,1,98,60,1,1,98,80,0,100,100,0,10,89,1,0,1,89,100,100,89,0,100,1827.8,89.8
1,3,,1,,100,,1,10.1,,1,1,,0,1,1,,37,0,0,,0,0,38,1,0,1,103,100,20,23,2,80,583.1,42.76
1,3,90,0,64,80,,1,3.9,,0,0,,20,0,0,,59.5,0,0,,0,10,98,0,0,1,81,10,10,68,0,40,736.4,56.82
1,2,90,1,98,100,96,1,2.7,92,1,1,94,110,1,1,92,35.5,0,0,98,0,100,60,1,0,1,104,90,80,58,0,100,1679.2,72.06
0,0,74,1,,64,,1,3.6,,1,1,,0,1,1,,50.5,0,70,,0,90,67,0,0,1,95,100,70,54,0,80,909.1,66.4
1,4,94,1,96,100,98,1,3.6,98,0,0,100,10,0,0,100,61,0,100,92,0,10,71,0,0,0,0,0,100,53,0,40,1412.6,62.37
1,3,100,1,88,60,96,0,0,94,1,1,94,0,1,1,98,39,0,90,98,0,0,40,0,0,1,68,100,90,45,0,100,1448,57.64
1,4,,1,,100,,1,10,,1,1,,80,1,1,,69,1,100,,1,90,97,0,0,1,88,100,100,75,0,100,1136,86.8
1,4,,1,,100,,1,7.4,,0,1,,0,0,1,,62,0,0,,1,10,53,1,0,1,93,10,0,0,0,60,471.4,34.7
1,3,86,1,12,100,,1,7.4,,0,1,,10,0,0,,76,1,10,,0,60,82,0,0,1,71,100,100,85,0,80,979.4,78.35
1,3,90,1,80,100,88,1,7.1,88,0,0,82,10,0,1,84,47,0,80,84,0,90,75,0,0,1,96,100,100,46,5,80,1603.1,70.35
1,3,78,1,,0,,1,5.2,,1,1,,0,1,1,,45,0,0,,0,0,60,0,0,1,75,0,0,42,0,100,486.2,38.87
1,3,98,1,98,80,98,1,5,,1,1,,0,1,1,,59,0,0,,1,0,66,0,0,0,0,0,0,66,0,80,738,53.01
1,5,98,1,,100,,0,0,,1,1,,0,1,1,,57,0,10,,0,10,81,0,0,1,77,100,100,73,2,100,902,71.14
1,4,,0,,100,,1,3.9,,0,0,,10,0,1,,59,0,100,,0,100,83,1,0,1,78,100,100,66,0,100,1000.9,80.08
1,5,,1,,100,92,1,5.9,92,1,1,92,90,1,1,,61,0,100,,0,90,76,1,0,1,98,100,80,91,0,100,1367.9,86.22
1,4,94,1,88,100,92,1,6,94,1,1,92,100,1,1,96,63,0,90,98,0,80,96,1,0,1,64,100,100,82,0,100,1853,88.18
1,3,82,1,94,100,82,1,8.8,88,1,1,96,100,1,1,98,79,0,100,96,0,80,89,0,0,1,78,90,100,91,4,100,1771.8,91.36
0,0,,0,,100,,0,0,,1,1,,0,1,1,,74,0,70,,0,20,88,1,0,1,85,100,0,85,0,98,832,76.73
1,4,96,0,90,100,80,1,9.3,90,1,1,96,10,1,1,86,62,1,60,88,0,60,70,0,0,1,113,50,80,89,1,100,1609.3,77.27
1,3,92,0,90,100,92,1,4.4,98,1,1,92,10,1,1,92,54,0,0,94,0,0,97,1,0,1,83,0,0,71,0,60,1326.4,58.15
1,3,84,0,96,80,94,0,0,90,0,0,90,10,0,1,82,46,0,10,90,0,0,51,0,0,1,46,90,0,59,6,80,1251,52.77
1,3,78,1,48,100,46,0,0,72,0,0,42,0,0,0,64,45,0,0,46,0,40,67,0,0,0,0,100,80,39,0,80,1089,55.47
1,3,2,1,,100,,1,6.8,,1,1,,10,1,1,,58.5,0,10,,0,40,58,0,0,1,81,100,80,70,0,100,785.3,65.22
1,2,100,1,96,100,94,1,7.5,94,1,1,98,90,1,1,94,24,0,70,94,1,70,56,1,1,1,57,100,0,45,1,80,1538.5,61.74
1,4,94,1,96,100,94,1,0.1,98,1,1,,110,1,1,,65.5,0,100,,0,90,100,0,0,1,105,100,0,50,0,100,1429.6,81.73
0,0,94,1,98,100,98,0,0,,1,1,,10,1,1,,79,0,0,,0,0,88,0,0,0,0,100,10,76,0,40,888,65.43
1,4,98,0,,100,,1,7,,0,1,,90,1,1,,73,0,90,,1,0,88,1,0,1,114,100,100,94,1,100,1161,91.03
1,1,,1,,100,,1,7.2,,1,0,,0,0,1,,62,0,10,,0,90,98,0,0,1,79,90,80,83,1,80,906.2,78.23
1,4,98,1,96,100,92,1,4.1,98,1,1,96,80,1,1,98,56,0,10,92,0,50,71,1,0,1,80,50,20,63,2,80,1525.1,65.61
1,3,98,0,96,100,100,1,4.7,,1,1,100,10,1,1,90,33,0,100,98,0,100,66,0,0,1,28,100,100,56,0,100,1560.7,73.44
0,0,88,0,100,95,98,1,4.8,96,0,1,98,10,0,0,100,67,0,100,96,1,90,84,0,0,1,86,100,100,87,8,100,1801.8,87.88
1,3,82,1,,100,,1,4.8,,1,1,,90,1,1,,72.5,0,100,,0,100,87,0,0,1,88,100,100,80,0,100,1214.3,87.03
1,4,96,1,94,100,92,1,2.7,96,1,1,96,0,1,1,98,58,1,10,98,1,50,81,1,1,1,108,100,70,74,0,60,1585.7,70.69
1,3,,0,,100,,1,8.9,,0,0,,100,1,0,90,68.5,0,100,90,0,100,100,0,0,1,90,100,0,92,0,100,1345.4,92.06
1,2,98,1,96,100,90,1,5.2,92,1,1,86,70,1,1,90,48.5,0,0,82,0,0,69,0,0,1,64,10,100,71,0,60,1408.7,62.99
1,4,96,1,78,100,,1,6.2,,0,1,,10,0,1,,72,0,40,,0,90,100,0,0,1,96,100,100,68,1,100,1187.2,82.47
1,5,98,1,94,100,98,1,9.1,100,1,1,94,100,1,1,96,55.5,1,100,96,1,100,74,1,0,1,105,100,100,60,0,100,1886.6,79.09
1,3,82,0,,100,,1,3.5,,1,0,,0,1,1,,84,1,10,,1,10,92,1,0,1,99,100,70,79,0,100,949.5,77.15
1,2,98,1,100,100,98,1,4.9,98,0,1,96,100,1,1,,68,0,100,,0,0,100,0,0,1,113,100,90,64,7,60,1617.9,82.23
1,3,78,1,82,80,82,1,3.3,84,1,1,86,100,1,1,80,43,0,50,78,1,10,76,0,0,1,104,100,100,60,0,80,1555.3,70.75
1,5,98,1,22,100,,1,8.4,,1,1,,110,1,1,,77,0,100,,0,90,74,0,0,1,110,100,100,94,0,100,1283.4,91.06
0,0,76,0,84,100,,1,5,92,0,0,74,0,0,1,,44,0,0,,0,0,59,0,0,1,96,100,100,52,0,80,1040,58.54
